num_steps,num_updates,epsilon,loss,success_rate,violation_rate,mean_return,mean_steps,curriculum_stage,sps
2000000,497501,0.050000000000000044,0.004135770723223686,0.962,0.03,0.932,5.216,1,88.11768790470688
2010000,500001,0.050000000000000044,0.013370677828788757,0.966,0.022,0.944,5.278,1,88.117096110148
2020000,502501,0.050000000000000044,0.0019248112803325057,0.966,0.032,0.934,4.714,1,88.12702689362446
2030000,505001,0.050000000000000044,0.0037485393695533276,0.968,0.026,0.942,5.608,1,88.13570839886893
2040000,507501,0.050000000000000044,0.004408359061926603,0.958,0.034,0.924,4.79,1,88.13156389048048
2050000,510001,0.050000000000000044,0.0021742740646004677,0.974,0.02,0.954,5.11,1,88.1298648879886
2060000,512501,0.050000000000000044,0.0017672169487923384,0.974,0.02,0.954,4.836,1,88.1407889794543
2070000,515001,0.050000000000000044,0.0024889109190553427,0.97,0.024,0.946,5.35,1,88.14909567713299
2080000,517501,0.050000000000000044,0.01251305267214775,0.964,0.032,0.932,4.904,1,88.15080642861625
2090000,520001,0.050000000000000044,0.002486494369804859,0.956,0.034,0.922,5.846,1,88.15577123960328
2100000,522501,0.050000000000000044,0.001537868520244956,0.96,0.034,0.926,5.476,1,88.15436058292474
2110000,525001,0.050000000000000044,0.0023413188755512238,0.968,0.02,0.948,5.002,1,88.15168583722058
2120000,527501,0.050000000000000044,0.0017165369354188442,0.962,0.034,0.928,4.546,1,88.15575169568102
2130000,530001,0.050000000000000044,0.005748406983911991,0.986,0.008,0.978,4.518,1,88.15316679963284
2140000,532501,0.050000000000000044,0.0024299726355820894,0.962,0.036,0.926,4.47,1,88.16069012990552
2150000,535001,0.050000000000000044,0.0040247756987810135,0.974,0.02,0.954,5.518,1,88.16536594688803
2160000,537501,0.050000000000000044,0.011660815216600895,0.972,0.024,0.948,4.83,1,88.1628133587092
2170000,540001,0.050000000000000044,0.002090378664433956,0.962,0.032,0.93,4.688,1,88.17299400383648
2180000,542501,0.050000000000000044,0.010402348823845387,0.96,0.032,0.928,5.386,1,88.16671217488049
2190000,545001,0.050000000000000044,0.0023357043974101543,0.958,0.03,0.928,5.65,1,88.17188904553187
2200000,547501,0.050000000000000044,0.011938735842704773,0.956,0.032,0.924,5.292,1,88.17649748546738
2210000,550001,0.050000000000000044,0.0016480322228744626,0.952,0.03,0.922,5.814,1,88.1777539718123
2220000,552501,0.050000000000000044,0.0030108122155070305,0.97,0.016,0.954,5.454,2,88.17079414024205
2230000,555001,0.050000000000000044,0.0018146841321140528,0.884,0.086,0.798,11.868,2,88.1846461749527
2240000,557501,0.050000000000000044,0.0019416343420743942,0.91,0.066,0.844,11.664,2,88.17212866134543
2250000,560001,0.050000000000000044,0.0017186056356877089,0.866,0.094,0.772,12.966,2,88.16996306049482
2260000,562501,0.050000000000000044,0.0026855848263949156,0.9,0.068,0.832,12.972,2,88.17892745611539
2270000,565001,0.050000000000000044,0.01064890343695879,0.864,0.094,0.77,13.132,2,88.18117223452568
2280000,567501,0.050000000000000044,0.0035333784762769938,0.904,0.074,0.83,11.144,2,88.18858559786965
2290000,570001,0.050000000000000044,0.0113499341532588,0.872,0.086,0.786,13.116,2,88.18643634679835
2300000,572501,0.050000000000000044,0.009279490448534489,0.866,0.084,0.782,13.336,2,88.18322302762843
2310000,575001,0.050000000000000044,0.002246153075248003,0.862,0.114,0.748,11.608,2,88.17558541766694
2320000,577501,0.050000000000000044,0.010277364403009415,0.882,0.094,0.788,12.588,2,88.18492855656602
2330000,580001,0.050000000000000044,0.0023983558639883995,0.886,0.088,0.798,12.15,2,88.18450058508523
2340000,582501,0.050000000000000044,0.0022651527542620897,0.902,0.074,0.828,11.964,2,88.19522002370087
2350000,585001,0.050000000000000044,0.0021341494284570217,0.896,0.068,0.828,12.406,2,88.20759928332485
2360000,587501,0.050000000000000044,0.012108910828828812,0.914,0.062,0.852,11.962,2,88.2164304820105
2370000,590001,0.050000000000000044,0.002052939496934414,0.892,0.074,0.818,11.836,2,88.21337621619399
2380000,592501,0.050000000000000044,0.009000386111438274,0.908,0.068,0.84,12.286,2,88.22213808936618
2390000,595001,0.050000000000000044,0.0023893562611192465,0.93,0.046,0.884,11.47,2,88.2203126779869
2400000,597501,0.050000000000000044,0.00358457094989717,0.908,0.062,0.846,11.944,2,88.22717032927028
2410000,600001,0.050000000000000044,0.010364488698542118,0.902,0.054,0.848,12.436,2,88.22093817851159
2420000,602501,0.050000000000000044,0.002134443959221244,0.898,0.07,0.828,12.914,2,88.21848431024053
2430000,605001,0.050000000000000044,0.019593600183725357,0.896,0.068,0.828,12.164,2,88.22592440397676
2440000,607501,0.050000000000000044,0.005636540241539478,0.92,0.054,0.866,11.522,2,88.22469585453551
2450000,610001,0.050000000000000044,0.003055147361010313,0.908,0.056,0.852,12.558,2,88.23058404917175
2460000,612501,0.050000000000000044,0.00240516010671854,0.91,0.07,0.84,11.166,2,88.2226857772605
2470000,615001,0.050000000000000044,0.0023735142312943935,0.912,0.052,0.86,13.0,2,88.22170019302246
2480000,617501,0.050000000000000044,0.00555072445422411,0.88,0.092,0.788,12.426,2,88.22466198479083
2490000,620001,0.050000000000000044,0.001908447127789259,0.906,0.072,0.834,10.914,2,88.22390825622496
2500000,622501,0.050000000000000044,0.005691707134246826,0.91,0.066,0.844,10.936,2,88.21977856167683
2510000,625001,0.050000000000000044,0.004328206181526184,0.894,0.064,0.83,12.298,2,88.22575860098107
2520000,627501,0.050000000000000044,0.0028162759263068438,0.902,0.06,0.842,12.462,2,88.21732006433304
2530000,630001,0.050000000000000044,0.0022093094885349274,0.892,0.084,0.808,12.436,2,88.22735043133231
2540000,632501,0.050000000000000044,0.0019699661061167717,0.918,0.06,0.858,10.944,2,88.21889389681222
2550000,635001,0.050000000000000044,0.007291754707694054,0.93,0.056,0.874,11.118,2,88.21861630719376
2560000,637501,0.050000000000000044,0.01108341570943594,0.908,0.07,0.838,11.51,2,88.21330628436144
2570000,640001,0.050000000000000044,0.0031323907896876335,0.88,0.092,0.788,12.33,2,88.22150259906691
2580000,642501,0.050000000000000044,0.0025619985535740852,0.898,0.076,0.822,11.004,2,88.21542968193809
2590000,645001,0.050000000000000044,0.006696563214063644,0.932,0.054,0.878,10.41,2,88.21341960962613
2600000,647501,0.050000000000000044,0.002125614322721958,0.908,0.074,0.834,10.816,2,88.21153560339911
2610000,650001,0.050000000000000044,0.00208242773078382,0.912,0.068,0.844,11.028,2,88.2087956051261
2620000,652501,0.050000000000000044,0.0019894421566277742,0.924,0.062,0.862,10.592,2,88.21778730076375
2630000,655001,0.050000000000000044,0.0024327312130481005,0.904,0.078,0.826,11.482,2,88.22204404272189
2640000,657501,0.050000000000000044,0.002573983743786812,0.904,0.082,0.822,10.026,2,88.22506163995223
2650000,660001,0.050000000000000044,0.01053625252097845,0.936,0.036,0.9,11.696,2,88.22032837466823
2660000,662501,0.050000000000000044,0.002382860751822591,0.918,0.064,0.854,10.588,2,88.22686084961242
2670000,665001,0.050000000000000044,0.002445288235321641,0.89,0.086,0.804,11.018,2,88.2381747998233
2680000,667501,0.050000000000000044,0.005239032208919525,0.898,0.082,0.816,10.636,2,88.240869134646
2690000,670001,0.050000000000000044,0.0038329344242811203,0.896,0.07,0.826,11.748,2,88.21199555432035
2700000,672501,0.050000000000000044,0.0016208982560783625,0.918,0.058,0.86,10.974,2,88.20270749455761
2710000,675001,0.050000000000000044,0.010193872265517712,0.916,0.058,0.858,10.958,2,88.1714874731421
2720000,677501,0.050000000000000044,0.0026941727846860886,0.884,0.082,0.802,11.718,2,88.17467921977313
2730000,680001,0.050000000000000044,0.002524153795093298,0.906,0.064,0.842,12.448,2,88.16383253372553
2740000,682501,0.050000000000000044,0.002421400509774685,0.92,0.056,0.864,10.674,2,88.13777281180073
2750000,685001,0.050000000000000044,0.0017297053709626198,0.918,0.062,0.856,11.578,2,88.14738453796004
2760000,687501,0.050000000000000044,0.0025580674409866333,0.886,0.086,0.8,11.038,2,88.15500088907217
2770000,690001,0.050000000000000044,0.0023394355084747076,0.9,0.068,0.832,12.036,2,88.15380944018654
2780000,692501,0.050000000000000044,0.0026756173465400934,0.912,0.056,0.856,11.494,2,88.15150981048421
2790000,695001,0.050000000000000044,0.004163926001638174,0.912,0.068,0.844,11.232,2,88.15268212328259
2800000,697501,0.050000000000000044,0.0027314997278153896,0.934,0.048,0.886,11.04,2,88.15226685737936
2810000,700001,0.050000000000000044,0.0022714827209711075,0.922,0.058,0.864,11.304,2,88.15877841461375
2820000,702501,0.050000000000000044,0.0024789138697087765,0.92,0.06,0.86,11.13,2,88.16569754332436
2830000,705001,0.050000000000000044,0.002157900482416153,0.906,0.082,0.824,10.636,2,88.15870839292194
2840000,707501,0.050000000000000044,0.021226275712251663,0.902,0.074,0.828,11.226,2,88.15835552897299
2850000,710001,0.050000000000000044,0.010781547985970974,0.938,0.048,0.89,10.476,2,88.1617313627677
2860000,712501,0.050000000000000044,0.002488788217306137,0.888,0.084,0.804,11.698,2,88.16552369225975
2870000,715001,0.050000000000000044,0.004413996823132038,0.912,0.078,0.834,10.682,2,88.16860395937559
2880000,717501,0.050000000000000044,0.0031302727293223143,0.914,0.062,0.852,11.382,2,88.17555444779435
2890000,720001,0.050000000000000044,0.002925208769738674,0.926,0.046,0.88,11.45,2,88.17206299519758
2900000,722501,0.050000000000000044,0.012242350727319717,0.9,0.074,0.826,11.796,2,88.17660831352475
2910000,725001,0.050000000000000044,0.0022707143798470497,0.932,0.046,0.886,10.95,2,88.17195625093193
2920000,727501,0.050000000000000044,0.002567846328020096,0.906,0.062,0.844,11.654,2,88.16635048823534
2930000,730001,0.050000000000000044,0.004298737738281488,0.928,0.046,0.882,11.138,2,88.17160510559161
2940000,732501,0.050000000000000044,0.0015210653655231,0.896,0.086,0.81,10.832,2,88.17763494541396
2950000,735001,0.050000000000000044,0.0017824711976572871,0.912,0.058,0.854,10.736,2,88.17718663619976
2960000,737501,0.050000000000000044,0.002274514641612768,0.91,0.068,0.842,10.804,2,88.17110828302732
2970000,740001,0.050000000000000044,0.001843191683292389,0.912,0.07,0.842,9.83,2,88.17605785928532
